"Plot Title: 10760824"
"#"	"Date"	"Time, GMT+01:00"	"Temp, °C (LGR S/N: 10760824, SEN S/N: 10760824, LBL: Temp)"	"Intensity, Lux (LGR S/N: 10760824, SEN S/N: 10760824, LBL: Lux)"	"End Of File (LGR S/N: 10760824)"
1	15-12-17	00:00:00	19.282	0.0	
2	15-12-17	00:05:00	19.282	0.0	
3	15-12-17	00:10:00	19.282	0.0	
4	15-12-17	00:15:00	19.282	0.0	
5	15-12-17	00:20:00	19.282	0.0	
6	15-12-17	00:25:00	19.282	0.0	
7	15-12-17	00:30:00	19.282	0.0	
8	15-12-17	00:35:00	19.282	0.0	
9	15-12-17	00:40:00	19.282	0.0	
10	15-12-17	00:45:00	19.282	0.0	
11	15-12-17	00:50:00	19.282	0.0	
12	15-12-17	00:55:00	19.282	0.0	
13	15-12-17	01:00:00	19.187	0.0	
14	15-12-17	01:05:00	19.187	0.0	
15	15-12-17	01:10:00	19.187	0.0	
16	15-12-17	01:15:00	19.187	0.0	
17	15-12-17	01:20:00	19.187	0.0	
18	15-12-17	01:25:00	19.187	0.0	
19	15-12-17	01:30:00	19.187	0.0	
20	15-12-17	01:35:00	19.187	0.0	
21	15-12-17	01:40:00	19.187	0.0	
22	15-12-17	01:45:00	19.187	0.0	
23	15-12-17	01:50:00	19.092	0.0	
24	15-12-17	01:55:00	19.092	0.0	
25	15-12-17	02:00:00	19.092	0.0	
26	15-12-17	02:05:00	19.092	0.0	
27	15-12-17	02:10:00	19.092	0.0	
28	15-12-17	02:15:00	19.092	0.0	
29	15-12-17	02:20:00	19.092	0.0	
30	15-12-17	02:25:00	19.092	0.0	
31	15-12-17	02:30:00	19.092	0.0	
32	15-12-17	02:35:00	19.092	0.0	
33	15-12-17	02:40:00	19.092	0.0	
34	15-12-17	02:45:00	19.092	0.0	
35	15-12-17	02:50:00	19.092	0.0	
36	15-12-17	02:55:00	19.092	0.0	
37	15-12-17	03:00:00	18.996	0.0	
38	15-12-17	03:05:00	18.996	0.0	
39	15-12-17	03:10:00	18.996	0.0	
40	15-12-17	03:15:00	18.996	0.0	
41	15-12-17	03:20:00	18.996	0.0	
42	15-12-17	03:25:00	18.996	0.0	
43	15-12-17	03:30:00	18.996	0.0	
44	15-12-17	03:35:00	18.996	0.0	
45	15-12-17	03:40:00	18.996	0.0	
46	15-12-17	03:45:00	18.996	0.0	
47	15-12-17	03:50:00	18.996	0.0	
48	15-12-17	03:55:00	18.996	0.0	
49	15-12-17	04:00:00	18.996	0.0	
50	15-12-17	04:05:00	18.996	0.0	
51	15-12-17	04:10:00	18.996	0.0	
52	15-12-17	04:15:00	18.996	0.0	
53	15-12-17	04:20:00	18.996	0.0	
54	15-12-17	04:25:00	18.996	0.0	
55	15-12-17	04:30:00	18.996	0.0	
56	15-12-17	04:35:00	18.901	0.0	
57	15-12-17	04:40:00	18.901	0.0	
58	15-12-17	04:45:00	18.901	0.0	
59	15-12-17	04:50:00	18.901	0.0	
60	15-12-17	04:55:00	18.901	0.0	
61	15-12-17	05:00:00	18.901	0.0	
62	15-12-17	05:05:00	18.901	0.0	
63	15-12-17	05:10:00	18.901	0.0	
64	15-12-17	05:15:00	18.901	0.0	
65	15-12-17	05:20:00	18.901	0.0	
66	15-12-17	05:25:00	18.901	0.0	
67	15-12-17	05:30:00	18.901	0.0	
68	15-12-17	05:35:00	18.901	0.0	
69	15-12-17	05:40:00	18.901	0.0	
70	15-12-17	05:45:00	18.901	0.0	
71	15-12-17	05:50:00	18.901	0.0	
72	15-12-17	05:55:00	18.901	0.0	
73	15-12-17	06:00:00	18.901	0.0	
74	15-12-17	06:05:00	18.901	0.0	
75	15-12-17	06:10:00	18.901	0.0	
76	15-12-17	06:15:00	18.806	0.0	
77	15-12-17	06:20:00	18.806	0.0	
78	15-12-17	06:25:00	18.806	0.0	
